household_id,person_number,employment_status2code,lab_salary_raw,salary,salary_status,employment_status,salary_flag
160100090000007201,01,1,4800,4800,Reported,Employed,
160100090000013801,01,1,999999999,,Non-response (employed),Employed,
160100090000013801,02,1,5000,5000,Reported,Employed,
160100330000001101,01,1,33427,33427,Reported,Employed,
160100330000001101,02,1,13352,13352,Reported,Employed,
160100330000001101,03,1,1249,1249,Reported,Employed,
160100330000001101,04,3,888888888,,Not applicable (not employed),Not economically active,
160100330000008601,01,1,13352,13352,Reported,Employed,
160100330000008601,02,1,5257,5257,Reported,Employed,
160100330000013601,01,3,888888888,,Not applicable (not employed),Not economically active,
160100330000013601,02,3,888888888,,Not applicable (not employed),Not economically active,
160100630000003601,01,1,33427,33427,Reported,Employed,
160100630000003601,02,1,13352,13352,Reported,Employed,
160100630000003601,03,3,888888888,,Not applicable (not employed),Not economically active,
160100630000007201,01,3,888888888,,Not applicable (not employed),Not economically active,
160100630000007201,02,2,888888888,,Not applicable (not employed),Unemployed,
160100630000010801,01,1,3929,3929,Reported,Employed,
160100630000018001,01,3,888888888,,Not applicable (not employed),Not economically active,
160100630000018001,02,3,888888888,,Not applicable (not employed),Not economically active,
160100630000021601,01,3,888888888,,Not applicable (not employed),Not economically active,
160100630000021601,02,2,888888888,,Not applicable (not employed),Unemployed,
160100630000021601,03,3,888888888,,Not applicable (not employed),Not economically active,
160100920000004701,01,1,999999999,,Non-response (employed),Employed,
160100920000004701,02,1,999999999,,Non-response (employed),Employed,
160100920000004701,03,3,888888888,,Not applicable (not employed),Not economically active,
160101410000022701,01,3,888888888,,Not applicable (not employed),Not economically active,
160101410000022701,02,3,888888888,,Not applicable (not employed),Not economically active,
161100010000007501,01,1,21583,21583,Reported,Employed,
161100010000007501,02,1,13352,13352,Reported,Employed,
161100010000047501,01,1,21583,21583,Reported,Employed,
161100010000047501,02,1,9475,9475,Reported,Employed,
161100010000047501,03,3,888888888,,Not applicable (not employed),Not economically active,
161100010000087501,01,1,1249,1249,Reported,Employed,
161100010000087501,02,1,2997,2997,Reported,Employed,
161100010000087501,03,3,888888888,,Not applicable (not employed),Not economically active,
161100270000011101,01,1,2008,2008,Reported,Employed,
161100270000018301,01,1,2008,2008,Reported,Employed,
161100270000018301,02,3,888888888,,Not applicable (not employed),Not economically active,
161100270000032701,01,1,2997,2997,Reported,Employed,
161100270000032701,02,3,888888888,,Not applicable (not employed),Not economically active,
161100270000039901,01,1,2997,2997,Reported,Employed,
162100390000001901,01,1,2008,2008,Reported,Employed,
162100390000001901,02,3,888888888,,Not applicable (not employed),Not economically active,
162100390000001901,03,3,888888888,,Not applicable (not employed),Not economically active,
162100390000001901,04,2,888888888,,Not applicable (not employed),Unemployed,
162100390000004901,01,3,888888888,,Not applicable (not employed),Not economically active,
162100390000004901,02,3,888888888,,Not applicable (not employed),Not economically active,
162100390000004901,03,3,888888888,,Not applicable (not employed),Not economically active,
162100390000004901,04,1,5257,5257,Reported,Employed,
162100390000004901,05,3,888888888,,Not applicable (not employed),Not economically active,
162100390000004901,06,3,888888888,,Not applicable (not employed),Not economically active,
162100390000007901,01,3,888888888,,Not applicable (not employed),Not economically active,
162100390000007901,02,2,888888888,,Not applicable (not employed),Unemployed,
162100390000007901,03,1,21583,21583,Reported,Employed,
162100390000007901,04,2,888888888,,Not applicable (not employed),Unemployed,
162100390000007901,05,3,888888888,,Not applicable (not employed),Not economically active,
162100390000010901,01,3,888888888,,Not applicable (not employed),Not economically active,
162100390000010901,02,3,888888888,,Not applicable (not employed),Not economically active,
162100390000010901,03,1,5257,5257,Reported,Employed,
162100390000010901,04,1,3929,3929,Reported,Employed,
162100390000010901,05,1,3929,3929,Reported,Employed,
162100390000013901,01,1,13352,13352,Reported,Employed,
162100390000013901,02,3,888888888,,Not applicable (not employed),Not economically active,
162100390000013901,03,1,5257,5257,Reported,Employed,
162100390000013901,04,3,888888888,,Not applicable (not employed),Not economically active,
162100390000016901,01,1,5257,5257,Reported,Employed,
162100450000000401,01,2,888888888,,Not applicable (not employed),Unemployed,
162100450000002201,01,1,13352,13352,Reported,Employed,
162100450000004001,01,1,21583,21583,Reported,Employed,
162100450000004001,02,1,13352,13352,Reported,Employed,
162100450000009401,01,1,5257,5257,Reported,Employed,
162100450000009401,02,3,888888888,,Not applicable (not employed),Not economically active,
162100450000009401,03,1,2997,2997,Reported,Employed,
162100450000009401,04,3,888888888,,Not applicable (not employed),Not economically active,
162100450000011201,01,1,21583,21583,Reported,Employed,
162100450000011201,02,1,13352,13352,Reported,Employed,
162100450000011201,03,1,13352,13352,Reported,Employed,
162100450000011201,04,3,888888888,,Not applicable (not employed),Not economically active,
162100450000014801,01,1,33427,33427,Reported,Employed,
162100580000003101,03,1,10000,10000,Reported,Employed,
162100580000003101,04,2,888888888,,Not applicable (not employed),Unemployed,
162100580000003101,05,2,888888888,,Not applicable (not employed),Unemployed,
162100580000018601,01,3,888888888,,Not applicable (not employed),Not economically active,
162100580000021701,01,3,888888888,,Not applicable (not employed),Not economically active,
162100580000021701,02,3,888888888,,Not applicable (not employed),Not economically active,
162100580000024801,01,1,3500,3500,Reported,Employed,
162100580000024801,02,2,888888888,,Not applicable (not employed),Unemployed,
162100750000001001,01,1,3200,3200,Reported,Employed,
162100750000001001,02,3,888888888,,Not applicable (not employed),Not economically active,
162100750000005201,01,1,40000,40000,Reported,Employed,
162100850000001001,01,1,8500,8500,Reported,Employed,
162100850000001001,02,1,5200,5200,Reported,Employed,
162100850000002901,01,1,5257,5257,Reported,Employed,
162100850000002901,02,1,8000,8000,Reported,Employed,
162100850000002901,03,2,888888888,,Not applicable (not employed),Unemployed,
162100850000002901,04,1,5257,5257,Reported,Employed,
162100850000002901,05,3,888888888,,Not applicable (not employed),Not economically active,
162100850000004801,01,1,6000,6000,Reported,Employed,
162100850000006701,01,1,4000,4000,Reported,Employed,
162100850000006701,02,1,4800,4800,Reported,Employed,
162100850000006701,03,3,888888888,,Not applicable (not employed),Not economically active,
162100850000008601,01,1,960,960,Reported,Employed,
162100850000008601,02,2,888888888,,Not applicable (not employed),Unemployed,
162100850000010501,01,1,2400,2400,Reported,Employed,
162100850000010501,02,2,888888888,,Not applicable (not employed),Unemployed,
162100850000014301,01,2,888888888,,Not applicable (not employed),Unemployed,
162100850000014301,02,1,3600,3600,Reported,Employed,
162100940000024301,01,1,21000,21000,Reported,Employed,
162100940000024301,02,3,888888888,,Not applicable (not employed),Not economically active,
162100940000024301,03,1,2400,2400,Reported,Employed,
162100940000024301,04,2,888888888,,Not applicable (not employed),Unemployed,
163100220000001101,01,3,888888888,,Not applicable (not employed),Not economically active,
163100220000003801,01,1,1249,1249,Reported,Employed,
163100220000003801,02,3,888888888,,Not applicable (not employed),Not economically active,
163100220000003801,03,3,888888888,,Not applicable (not employed),Not economically active,
163100220000003801,04,3,888888888,,Not applicable (not employed),Not economically active,
163100220000006501,01,1,13352,13352,Reported,Employed,
163100220000006501,02,1,13352,13352,Reported,Employed,
163100220000006501,03,1,3929,3929,Reported,Employed,
163100220000006501,04,3,888888888,,Not applicable (not employed),Not economically active,
163100220000006501,05,3,888888888,,Not applicable (not employed),Not economically active,
163100220000009201,01,1,13352,13352,Reported,Employed,
163100220000011901,01,1,13352,13352,Reported,Employed,
163100220000011901,02,1,6958,6958,Reported,Employed,
163100220000014601,01,1,5257,5257,Reported,Employed,
163100220000014601,02,1,2997,2997,Reported,Employed,
163100220000014601,03,1,6958,6958,Reported,Employed,
163100220000014601,04,1,3929,3929,Reported,Employed,
163100220000017301,01,3,888888888,,Not applicable (not employed),Not economically active,
163100220000017301,02,1,5257,5257,Reported,Employed,
163100220000017301,03,1,3929,3929,Reported,Employed,
163100220000017301,04,1,3929,3929,Reported,Employed,
163100220000017301,05,3,888888888,,Not applicable (not employed),Not economically active,
163100220000020001,01,1,800,800,Reported,Employed,
163100940000001701,01,1,5257,5257,Reported,Employed,
163100940000001701,02,1,6958,6958,Reported,Employed,
163100940000003401,01,2,888888888,,Not applicable (not employed),Unemployed,
163100940000003401,02,1,3929,3929,Reported,Employed,
163100940000003401,03,1,3929,3929,Reported,Employed,
163100940000005101,01,3,888888888,,Not applicable (not employed),Not economically active,
163100940000006801,02,3,888888888,,Not applicable (not employed),Not economically active,
163100940000006801,03,3,888888888,,Not applicable (not employed),Not economically active,
163100940000006801,04,3,888888888,,Not applicable (not employed),Not economically active,
163100940000006801,05,1,5257,5257,Reported,Employed,
163100940000008501,01,3,888888888,,Not applicable (not employed),Not economically active,
163100940000008501,02,3,888888888,,Not applicable (not employed),Not economically active,
163100940000008501,03,3,888888888,,Not applicable (not employed),Not economically active,
163100940000010201,01,1,13352,13352,Reported,Employed,
163100940000010201,02,1,13352,13352,Reported,Employed,
163100940000010201,03,1,5257,5257,Reported,Employed,
163100940000011901,01,1,21583,21583,Reported,Employed,
163100940000011901,02,1,21583,21583,Reported,Employed,
163101070000003301,02,3,888888888,,Not applicable (not employed),Not economically active,
163101070000003301,03,1,6000,6000,Reported,Employed,
163101070000003301,04,1,28000,28000,Reported,Employed,
163101070000003301,05,1,5000,5000,Reported,Employed,
163101070000005401,01,1,3500,3500,Reported,Employed,
163101070000005401,02,1,21000,21000,Reported,Employed,
163101070000011701,01,1,12000,12000,Reported,Employed,
163101070000011701,02,1,18000,18000,Reported,Employed,
163101550000002501,01,1,9475,9475,Reported,Employed,
163101550000002501,02,2,888888888,,Not applicable (not employed),Unemployed,
163101550000002501,03,3,888888888,,Not applicable (not employed),Not economically active,
163101550000002501,04,1,3929,3929,Reported,Employed,
163101550000005001,01,1,2008,2008,Reported,Employed,
163101550000007501,01,1,2997,2997,Reported,Employed,
163101550000007501,02,3,888888888,,Not applicable (not employed),Not economically active,
163101550000010001,01,2,888888888,,Not applicable (not employed),Unemployed,
163101550000010001,02,1,5257,5257,Reported,Employed,
163101550000012501,01,1,5257,5257,Reported,Employed,
163101550000012501,02,3,888888888,,Not applicable (not employed),Not economically active,
163101550000015001,01,3,888888888,,Not applicable (not employed),Not economically active,
163101550000017501,01,1,888888888,,Non-response (employed),Employed,
163101550000017501,02,2,888888888,,Not applicable (not employed),Unemployed,
163101550000017501,03,1,2997,2997,Reported,Employed,
163101550000022501,01,1,5257,5257,Reported,Employed,
163101550000022501,02,3,888888888,,Not applicable (not employed),Not economically active,
163101550000025001,01,3,888888888,,Not applicable (not employed),Not economically active,
163101550000025001,02,3,888888888,,Not applicable (not employed),Not economically active,
163102320000001701,01,1,17000,17000,Reported,Employed,
163102320000001701,02,3,888888888,,Not applicable (not employed),Not economically active,
163102320000001701,03,1,5200,5200,Reported,Employed,
163102320000004901,01,1,999999999,,Non-response (employed),Employed,
163102320000004901,02,3,888888888,,Not applicable (not employed),Not economically active,
163102320000004901,03,3,888888888,,Not applicable (not employed),Not economically active,
163102320000008101,02,3,888888888,,Not applicable (not employed),Not economically active,
163102350000002401,01,3,888888888,,Not applicable (not employed),Not economically active,
163102350000002401,02,1,5257,5257,Reported,Employed,
163102350000005301,01,3,888888888,,Not applicable (not employed),Not economically active,
163102350000005301,02,1,21583,21583,Reported,Employed,
163102350000005301,03,3,888888888,,Not applicable (not employed),Not economically active,
163102350000008201,02,3,888888888,,Not applicable (not employed),Not economically active,
163102350000011101,01,1,2008,2008,Reported,Employed,
163102350000011101,02,1,1249,1249,Reported,Employed,
163102850000000401,01,1,5257,5257,Reported,Employed,
163102850000000401,03,3,888888888,,Not applicable (not employed),Not economically active,
163102850000000401,04,3,888888888,,Not applicable (not employed),Not economically active,
163102850000001101,01,1,33427,33427,Reported,Employed,
163102850000001101,02,1,21583,21583,Reported,Employed,
163102850000001101,03,1,5257,5257,Reported,Employed,
163102850000001801,02,1,9475,9475,Reported,Employed,
163102850000001801,03,1,6958,6958,Reported,Employed,
164100490000002001,01,1,21583,21583,Reported,Employed,
164100490000002001,02,1,888888888,,Non-response (employed),Employed,
164100490000002001,03,3,888888888,,Not applicable (not employed),Not economically active,
164100490000004401,02,3,888888888,,Not applicable (not employed),Not economically active,
164100490000004401,03,1,5257,5257,Reported,Employed,
164100490000004401,04,3,888888888,,Not applicable (not employed),Not economically active,
164100490000004401,05,3,888888888,,Not applicable (not employed),Not economically active,
164100490000006801,01,3,888888888,,Not applicable (not employed),Not economically active,
164100490000006801,02,1,9475,9475,Reported,Employed,
164100490000006801,03,1,3929,3929,Reported,Employed,
164100490000009201,01,3,888888888,,Not applicable (not employed),Not economically active,
164100490000009201,02,3,888888888,,Not applicable (not employed),Not economically active,
164100490000011601,01,3,888888888,,Not applicable (not employed),Not economically active,
164100490000014001,01,3,888888888,,Not applicable (not employed),Not economically active,
164100570000000101,01,1,33427,33427,Reported,Employed,
164100570000000101,02,3,888888888,,Not applicable (not employed),Not economically active,
164100570000001901,01,1,13352,13352,Reported,Employed,
164100570000001901,02,1,13352,13352,Reported,Employed,
164100570000003701,01,1,1249,1249,Reported,Employed,
164100570000003701,02,1,2008,2008,Reported,Employed,
164100570000003701,03,1,6958,6958,Reported,Employed,
164100570000003701,04,3,888888888,,Not applicable (not employed),Not economically active,
164100570000005501,01,1,9475,9475,Reported,Employed,
164100570000005501,02,3,888888888,,Not applicable (not employed),Not economically active,
164100570000005501,03,1,9475,9475,Reported,Employed,
164100570000005501,04,1,6958,6958,Reported,Employed,
164100570000007301,01,1,21583,21583,Reported,Employed,
164100570000007301,02,1,21583,21583,Reported,Employed,
164100570000009101,01,3,888888888,,Not applicable (not employed),Not economically active,
164100570000009101,02,1,5257,5257,Reported,Employed,
164100570000009101,03,1,13352,13352,Reported,Employed,
164100570000009101,04,3,888888888,,Not applicable (not employed),Not economically active,
164100570000010901,02,3,888888888,,Not applicable (not employed),Not economically active,
164100570000010901,03,1,1249,1249,Reported,Employed,
164100570000010901,04,1,2997,2997,Reported,Employed,
164100570000012701,03,1,21583,21583,Reported,Employed,
164100590000001201,01,1,999999999,,Non-response (employed),Employed,
164100590000001201,02,1,999999999,,Non-response (employed),Employed,
164100590000004601,03,1,999999999,,Non-response (employed),Employed,
164100590000004601,04,2,888888888,,Not applicable (not employed),Unemployed,
164100590000004601,06,2,888888888,,Not applicable (not employed),Unemployed,
164100590000008001,02,1,999999999,,Non-response (employed),Employed,
164100590000011401,01,1,999999999,,Non-response (employed),Employed,
164100590000011401,02,1,999999999,,Non-response (employed),Employed,
164101180000003901,02,1,27961,27961,Reported,Employed,
164101180000005101,01,1,8000,8000,Reported,Employed,
164101180000006301,01,1,44287,44287,Reported,Employed,
164101180000006301,02,1,4000,4000,Reported,Employed,
164101180000006301,04,1,21583,21583,Reported,Employed,
164101180000007501,01,1,2997,2997,Reported,Employed,
164101280000002701,01,1,30000,30000,Reported,Employed,
164101280000002701,02,1,30000,30000,Reported,Employed,
164101280000015101,01,1,15000,15000,Reported,Employed,
164101280000021301,01,1,10000,10000,Reported,Employed,
164101600000000801,01,3,888888888,,Not applicable (not employed),Not economically active,
164101600000000801,02,1,1249,1249,Reported,Employed,
164101600000000801,03,1,360,360,Reported,Employed,
164101600000002501,01,1,58154,58154,Reported,Employed,
164101600000002501,02,1,21583,21583,Reported,Employed,
164101600000004201,01,1,33427,33427,Reported,Employed,
164101600000004201,02,1,999999999,,Non-response (employed),Employed,
164101600000005901,01,3,888888888,,Not applicable (not employed),Not economically active,
164101600000005901,02,2,888888888,,Not applicable (not employed),Unemployed,
164101600000005901,03,2,888888888,,Not applicable (not employed),Unemployed,
164101600000007601,01,1,30000,30000,Reported,Employed,
164101600000007601,02,1,25000,25000,Reported,Employed,
164101600000007601,03,1,8500,8500,Reported,Employed,
164101600000007601,04,3,888888888,,Not applicable (not employed),Not economically active,
164101600000011001,01,3,888888888,,Not applicable (not employed),Not economically active,
164101600000011001,02,3,888888888,,Not applicable (not employed),Not economically active,
164101600000011001,03,1,21583,21583,Reported,Employed,
164101600000011001,04,1,1200,1200,Reported,Employed,
164101600000011001,05,1,9475,9475,Reported,Employed,
165100330000003601,01,1,6958,6958,Reported,Employed,
165100330000003601,02,2,888888888,,Not applicable (not employed),Unemployed,
165100330000007601,01,1,2008,2008,Reported,Employed,
165100330000007601,02,2,888888888,,Not applicable (not employed),Unemployed,
165100330000015601,01,1,21583,21583,Reported,Employed,
165100330000015601,02,2,888888888,,Not applicable (not employed),Unemployed,
165100330000019601,01,1,9475,9475,Reported,Employed,
165100330000019601,02,3,888888888,,Not applicable (not employed),Not economically active,
165100330000023601,01,1,6000,6000,Reported,Employed,
165100330000023601,02,1,6000,6000,Reported,Employed,
165100330000027601,01,1,4000,4000,Reported,Employed,
165100510000001501,01,1,13352,13352,Reported,Employed,
165100510000004701,01,1,13352,13352,Reported,Employed,
165100510000004701,02,1,13352,13352,Reported,Employed,
165100510000006301,01,3,888888888,,Not applicable (not employed),Not economically active,
165100510000007901,01,1,13352,13352,Reported,Employed,
165100510000009501,01,1,21583,21583,Reported,Employed,
165100510000011101,02,3,888888888,,Not applicable (not employed),Not economically active,
165100510000011101,04,1,6958,6958,Reported,Employed,
165100640000000801,01,3,888888888,,Not applicable (not employed),Not economically active,
165100640000000801,02,1,9475,9475,Reported,Employed,
165100640000004201,01,1,13352,13352,Reported,Employed,
165100640000007601,01,1,9475,9475,Reported,Employed,
165100640000007601,02,1,9475,9475,Reported,Employed,
165100640000007601,03,3,888888888,,Not applicable (not employed),Not economically active,
165100640000011001,01,3,888888888,,Not applicable (not employed),Not economically active,
165100640000011001,02,1,6958,6958,Reported,Employed,
165100640000011001,03,1,6958,6958,Reported,Employed,
165100640000014401,01,1,6958,6958,Reported,Employed,
165100640000014401,02,3,888888888,,Not applicable (not employed),Not economically active,
165100640000017801,02,3,888888888,,Not applicable (not employed),Not economically active,
165100640000017801,03,1,2997,2997,Reported,Employed,
165100790040000201,01,1,4800,4800,Reported,Employed,
165100790040000201,02,1,4000,4000,Reported,Employed,
165100790040000401,01,1,2000,2000,Reported,Employed,
165100790040000401,02,1,2000,2000,Reported,Employed,
165100790040000601,01,3,888888888,,Not applicable (not employed),Not economically active,
165100790040000801,01,1,9475,9475,Reported,Employed,
165100790040000801,02,1,4800,4800,Reported,Employed,
165100790040000801,03,1,5257,5257,Reported,Employed,
165100790040000801,04,3,888888888,,Not applicable (not employed),Not economically active,
165100790040001201,01,1,3929,3929,Reported,Employed,
165100790040001201,02,3,888888888,,Not applicable (not employed),Not economically active,
165100790040001201,03,3,888888888,,Not applicable (not employed),Not economically active,
165100790040001201,04,1,6958,6958,Reported,Employed,
165100790040001401,01,1,5000,5000,Reported,Employed,
165100790040001401,02,1,5000,5000,Reported,Employed,
165100790040001601,01,2,888888888,,Not applicable (not employed),Unemployed,
165101390000013901,01,1,999999999,,Non-response (employed),Employed,
165101390000013901,02,1,999999999,,Non-response (employed),Employed,
165101390000021801,01,1,8000,8000,Reported,Employed,
165101390000021801,02,3,888888888,,Not applicable (not employed),Not economically active,
165101390000021801,03,1,2997,2997,Reported,Employed,
165101390000021801,04,3,888888888,,Not applicable (not employed),Not economically active,
165101390000021801,05,3,888888888,,Not applicable (not employed),Not economically active,
165101390000029701,01,1,4400,4400,Reported,Employed,
165101390000037601,01,1,4000,4000,Reported,Employed,
165101390000037601,02,1,4000,4000,Reported,Employed,
165101390000045501,01,1,2008,2008,Reported,Employed,
165101390000053401,01,1,2400,2400,Reported,Employed,
165101650000005201,01,1,4400,4400,Reported,Employed,
165101650000014101,01,1,4800,4800,Reported,Employed,
165101790000005201,02,2,888888888,,Not applicable (not employed),Unemployed,
166100310000007801,01,1,33427,33427,Reported,Employed,
166100310000007801,02,1,21583,21583,Reported,Employed,
166100310000007801,03,3,888888888,,Not applicable (not employed),Not economically active,
166100310000015201,01,1,5000,5000,Reported,Employed,
166100310000015201,02,3,888888888,,Not applicable (not employed),Not economically active,
166100310000015201,03,1,3929,3929,Reported,Employed,
166100310000015201,04,3,888888888,,Not applicable (not employed),Not economically active,
166100310000015201,05,3,888888888,,Not applicable (not employed),Not economically active,
166100310000015201,06,2,888888888,,Not applicable (not employed),Unemployed,
166100310000022601,01,1,7000,7000,Reported,Employed,
166100310000022601,02,1,7200,7200,Reported,Employed,
166100310000022601,03,3,888888888,,Not applicable (not employed),Not economically active,
166100310000026301,01,1,6958,6958,Reported,Employed,
166100310000026301,02,3,888888888,,Not applicable (not employed),Not economically active,
166100500000001201,01,2,888888888,,Not applicable (not employed),Unemployed,
166100500000001201,02,3,888888888,,Not applicable (not employed),Not economically active,
166100500000005001,01,1,3929,3929,Reported,Employed,
166100500000005001,02,3,888888888,,Not applicable (not employed),Not economically active,
166100500000005001,03,1,6958,6958,Reported,Employed,
166100500000005001,04,1,5257,5257,Reported,Employed,
166100500000005001,05,2,888888888,,Not applicable (not employed),Unemployed,
166100500000008801,01,3,888888888,,Not applicable (not employed),Not economically active,
166100500000008801,02,3,888888888,,Not applicable (not employed),Not economically active,
166100500000008801,03,1,888888888,,Non-response (employed),Employed,
166100920000001801,01,3,888888888,,Not applicable (not employed),Not economically active,
166100920000001801,02,1,21583,21583,Reported,Employed,
166100920000001801,03,1,21583,21583,Reported,Employed,
166100920000001801,04,3,888888888,,Not applicable (not employed),Not economically active,
166100920000005701,01,1,21583,21583,Reported,Employed,
166100920000005701,02,1,21583,21583,Reported,Employed,
166100920000009601,01,3,888888888,,Not applicable (not employed),Not economically active,
166100920000017401,01,1,33427,33427,Reported,Employed,
166100920000017401,02,3,888888888,,Not applicable (not employed),Not economically active,
166100920000017401,03,3,888888888,,Not applicable (not employed),Not economically active,
166101210000001501,01,1,5600,5600,Reported,Employed,
166101210000001501,02,1,4400,4400,Reported,Employed,
166101210000001501,03,1,4400,4400,Reported,Employed,
166101210000001501,04,1,4400,4400,Reported,Employed,
166101210000001501,05,1,4400,4400,Reported,Employed,
166101210000001501,06,1,4400,4400,Reported,Employed,
166101210000001501,11,1,4400,4400,Reported,Employed,
166101210000005401,02,1,4400,4400,Reported,Employed,
166101210000005401,03,1,4800,4800,Reported,Employed,
166101210000005401,04,1,4000,4000,Reported,Employed,
166101210000009301,02,1,4400,4400,Reported,Employed,
166101210000009301,04,2,888888888,,Not applicable (not employed),Unemployed,
166101210000013201,01,1,4000,4000,Reported,Employed,
166101210000013201,02,1,4000,4000,Reported,Employed,
166101210000021001,01,1,5340,5340,Reported,Employed,
166101210000021001,02,1,4400,4400,Reported,Employed,
166101210000021001,03,1,4000,4000,Reported,Employed,
166101210000021001,04,2,888888888,,Not applicable (not employed),Unemployed,
166101240000001501,01,1,27000,27000,Reported,Employed,
166101240000001501,02,1,24000,24000,Reported,Employed,
166101240000014501,01,3,888888888,,Not applicable (not employed),Not economically active,
166101240000014501,02,3,888888888,,Not applicable (not employed),Not economically active,
166101240000021001,01,1,20000,20000,Reported,Employed,
166101240000040501,01,1,20000,20000,Reported,Employed,
166101240000040501,02,1,35000,35000,Reported,Employed,
166101240000047001,01,1,95000,95000,Reported,Employed,
166101240000047001,02,1,70000,70000,Reported,Employed,
166101240000053501,01,1,150000,150000,Reported,Employed,
166101240000053501,02,1,80000,80000,Reported,Employed,
166101240000053501,03,3,888888888,,Not applicable (not employed),Not economically active,
166101240000053501,04,3,888888888,,Not applicable (not employed),Not economically active,
166101240000060001,01,1,80000,80000,Reported,Employed,
166101240000060001,02,1,150000,150000,Reported,Employed,
166101550000001701,01,1,4200,4200,Reported,Employed,
166101550000001701,02,3,888888888,,Not applicable (not employed),Not economically active,
166101550000001701,04,3,888888888,,Not applicable (not employed),Not economically active,
166101550000003801,01,1,4500,4500,Reported,Employed,
166101550000003801,02,3,888888888,,Not applicable (not employed),Not economically active,
166101550000003801,05,1,18000,18000,Reported,Employed,
166101550000005901,01,3,888888888,,Not applicable (not employed),Not economically active,
166101550000005901,02,1,11000,11000,Reported,Employed,
166101550000005901,03,3,888888888,,Not applicable (not employed),Not economically active,
166101550000005901,04,3,888888888,,Not applicable (not employed),Not economically active,
166101590000000701,01,1,80000,80000,Reported,Employed,
166101590000000701,02,1,150000,150000,Reported,Employed,
166101590000007301,01,1,80000,80000,Reported,Employed,
166101590000007301,02,1,150000,150000,Reported,Employed,
166101590000010601,01,1,20000,20000,Reported,Employed,
166101590000010601,02,1,8000,8000,Reported,Employed,
166101590000010601,03,3,888888888,,Not applicable (not employed),Not economically active,
166101590000010601,04,3,888888888,,Not applicable (not employed),Not economically active,
166101590000013901,01,1,20000,20000,Reported,Employed,
166101590000013901,02,1,26000,26000,Reported,Employed,
166101590000017201,01,1,30000,30000,Reported,Employed,
166101590000017201,02,1,20000,20000,Reported,Employed,
166101610000000501,01,3,888888888,,Not applicable (not employed),Not economically active,
166101610000000501,02,3,888888888,,Not applicable (not employed),Not economically active,
166101610000000501,03,1,6958,6958,Reported,Employed,
166101610000003201,02,3,888888888,,Not applicable (not employed),Not economically active,
166101610000008601,02,3,888888888,,Not applicable (not employed),Not economically active,
166101610000008601,03,2,888888888,,Not applicable (not employed),Unemployed,
166101610000011301,01,1,35000,35000,Reported,Employed,
166101610000011301,02,1,30000,30000,Reported,Employed,
166101610000014001,01,1,20000,20000,Reported,Employed,
166101610000014001,02,1,24000,24000,Reported,Employed,
166101820000003601,02,1,4400,4400,Reported,Employed,
166101820000008801,01,1,25000,25000,Reported,Employed,
166101820000008801,02,1,30000,30000,Reported,Employed,
166101820000008801,03,1,18000,18000,Reported,Employed,
166101820000008801,04,3,888888888,,Not applicable (not employed),Not economically active,
166101820000014001,01,1,9000,9000,Reported,Employed,
166101820000014001,02,1,7200,7200,Reported,Employed,
166101820000014001,03,3,888888888,,Not applicable (not employed),Not economically active,
166101820000014001,04,3,888888888,,Not applicable (not employed),Not economically active,
166101820000014001,05,3,888888888,,Not applicable (not employed),Not economically active,
166101820000019201,02,1,6400,6400,Reported,Employed,
166101820000019201,03,1,18000,18000,Reported,Employed,
166101910000000901,02,3,888888888,,Not applicable (not employed),Not economically active,
166101910000007901,01,1,6958,6958,Reported,Employed,
166101910000007901,02,1,3929,3929,Reported,Employed,
166101910000007901,03,1,30000,30000,Reported,Employed,
166101910000007901,04,3,888888888,,Not applicable (not employed),Not economically active,
166101910000007901,05,2,888888888,,Not applicable (not employed),Unemployed,
166101910000007901,06,2,888888888,,Not applicable (not employed),Unemployed,
166101910000007901,07,3,888888888,,Not applicable (not employed),Not economically active,
166101910000007901,08,1,6000,6000,Reported,Employed,
166101910000007901,09,2,888888888,,Not applicable (not employed),Unemployed,
166101910000011401,01,1,6958,6958,Reported,Employed,
166101910000011401,02,2,888888888,,Not applicable (not employed),Unemployed,
166101910000011401,03,3,888888888,,Not applicable (not employed),Not economically active,
166101910000021901,01,2,888888888,,Not applicable (not employed),Unemployed,
166101910000021901,02,1,9475,9475,Reported,Employed,
166101910000021902,01,1,9475,9475,Reported,Employed,
166101910000021902,02,1,9475,9475,Reported,Employed,
166101910000021902,03,3,888888888,,Not applicable (not employed),Not economically active,
166101910000021902,04,3,888888888,,Not applicable (not employed),Not economically active,
166101910000025401,02,3,888888888,,Not applicable (not employed),Not economically active,
166101910000028901,01,3,888888888,,Not applicable (not employed),Not economically active,
166101910000028901,02,1,4500,4500,Reported,Employed,
166101910000028901,03,3,888888888,,Not applicable (not employed),Not economically active,
166101910000028901,04,3,888888888,,Not applicable (not employed),Not economically active,
166101930000002101,01,3,888888888,,Not applicable (not employed),Not economically active,
166101930000002101,02,3,888888888,,Not applicable (not employed),Not economically active,
166101930000002101,03,2,888888888,,Not applicable (not employed),Unemployed,
166101930000002101,04,2,888888888,,Not applicable (not employed),Unemployed,
166101930000002101,05,1,14000,14000,Reported,Employed,
166101930000017301,01,1,4800,4800,Reported,Employed,
166101930000017301,02,3,888888888,,Not applicable (not employed),Not economically active,
166101930000017301,03,1,7500,7500,Reported,Employed,
166101930000017301,04,2,888888888,,Not applicable (not employed),Unemployed,
